OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,VG71,man81,29,82.7,28.14,2018-04-23,2018-05-23
2,VP84,man44,53,38.29,21.79,2018-03-22,2018-04-30
3,YV52,man61,99,39.21,16.85,2018-03-16,2018-05-27
4,BX53,man44,19,82.04,14.63,2018-04-17,2018-05-27
5,GK56,man09,56,27.83,14.82,2018-03-13,2018-05-04
6,AA61,man16,92,73.94,19.83,2018-04-23,2018-05-06
7,WE42,man37,45,75.37,28.69,2018-04-11,2018-05-10
8,QN03,man67,58,59.35,22.53,2018-03-24,2018-05-18
9,PU03,man27,88,76.83,17.15,2018-03-26,2018-05-30
10,LI35,man51,83,98.99,13.25,2018-03-31,2018-05-07
11,DQ09,man22,61,88.64,27.02,2018-04-21,2018-05-12
12,QI02,man63,32,63.58,29.09,2018-04-07,2018-05-14
13,WN32,man52,51,47.1,17.73,2018-03-29,2018-05-10
14,YW83,man90,76,30.42,27.02,2018-04-14,2018-05-03
15,YA06,man47,58,64.68,19.08,2018-04-27,2018-05-28
16,YJ70,man33,98,52.71,16.35,2018-04-17,2018-05-09
17,HU04,man21,54,21.43,29.62,2018-04-01,2018-05-14
18,FG30,man58,91,50.79,25.27,2018-03-17,2018-05-21
19,VI24,man94,85,40.8,14.47,2018-04-13,2018-05-03
20,PJ35,man91,10,87.84,17.56,2018-04-22,2018-05-05
21,OO63,man26,45,98.25,26.27,2018-04-23,2018-05-11
22,ET84,man02,8,21.47,11.73,2018-04-15,2018-05-01
23,CP44,man51,94,71.57,25.02,2018-03-26,2018-05-26
24,JG22,man48,9,88.78,14.94,2018-03-22,2018-05-12
25,GN71,man87,77,42.85,20.47,2018-03-02,2018-05-03
26,MC98,man45,74,63.08,12.43,2018-03-03,2018-05-10
27,AN09,man86,31,74.7,29.25,2018-03-22,2018-05-15
28,DY34,man07,92,71.19,24.99,2018-04-20,2018-05-10
29,OU52,man30,11,74.97,21.96,2018-03-02,2018-05-24
30,QR38,man34,88,64.65,17.95,2018-03-29,2018-05-28
31,YK60,man68,86,76.45,18.3,2018-03-04,2018-05-13
32,WH17,man39,7,37.09,26.33,2018-04-26,2018-05-28
33,SH43,man53,73,31.32,20.33,2018-03-25,2018-05-15
34,BJ49,man85,60,27.09,22.31,2018-03-25,2018-05-28
35,WD10,man63,29,82.85,23.77,2018-03-08,2018-04-30
36,UN92,man77,13,91.51,18.89,2018-04-02,2018-05-27
37,UK12,man24,83,89.73,11.15,2018-04-08,2018-05-19
38,VE29,man21,39,39.23,28.28,2018-03-06,2018-05-22
39,FQ07,man78,60,57.15,10.27,2018-04-24,2018-05-28
40,LJ07,man48,5,72.89,27.43,2018-03-02,2018-05-18
41,JQ54,man82,49,96.56,11.62,2018-04-27,2018-05-24
42,HY29,man71,53,23.31,23.78,2018-04-16,2018-05-26
43,LZ73,man77,76,76.96,26.31,2018-03-30,2018-05-18
44,VH51,man79,80,87.92,21.06,2018-04-22,2018-05-09
45,YY52,man84,5,29.11,12.9,2018-03-01,2018-05-18
46,GJ58,man60,91,46.46,23.71,2018-03-04,2018-05-09
47,KI71,man07,78,99.5,19.58,2018-03-11,2018-05-22
48,KD29,man73,14,78.03,27.21,2018-03-17,2018-05-24
49,LG56,man41,17,93.11,12.16,2018-04-13,2018-05-05
50,FO23,man17,4,50.37,27.79,2018-04-29,2018-05-30
51,EU61,man38,5,47.53,18.69,2018-03-07,2018-05-15
52,CP41,man16,28,45.27,10.64,2018-03-05,2018-05-26
53,XG07,man11,36,26.09,10.76,2018-03-06,2018-05-09
54,XU10,man09,61,22.32,11.46,2018-04-25,2018-05-10
55,YN29,man49,68,84.26,13.6,2018-03-01,2018-05-03
56,LC44,man26,42,44.37,22.75,2018-03-11,2018-05-24
57,DI45,man52,25,74.63,26.83,2018-04-25,2018-05-13
58,TL82,man75,65,57.2,13.37,2018-04-19,2018-05-30
59,GX84,man25,6,37.18,15.25,2018-03-11,2018-05-29
60,SP89,man08,100,45.14,13.58,2018-03-21,2018-05-03
61,RB53,man00,46,53.84,22.78,2018-03-29,2018-04-30
62,RR08,man94,26,23.08,21.22,2018-03-06,2018-05-20
63,FA84,man99,18,82.8,13.23,2018-04-18,2018-05-08
64,UD37,man42,16,27.13,17.33,2018-03-23,2018-05-23
65,PI90,man61,80,68.36,17.56,2018-03-01,2018-05-22
66,IL80,man68,72,64.09,18.18,2018-04-28,2018-05-03
67,CF98,man01,21,89.48,27.89,2018-03-19,2018-05-30
68,LM72,man65,53,24.75,20.3,2018-03-16,2018-04-30
69,JC37,man22,15,97.18,17.33,2018-03-04,2018-05-13
70,BZ45,man47,76,59.61,22.84,2018-04-17,2018-05-09
71,XU00,man82,28,32.13,15.76,2018-04-14,2018-05-03
72,JO56,man26,39,41.01,27.64,2018-04-19,2018-05-20
73,KA35,man97,7,71.97,19.04,2018-03-19,2018-05-25
74,QV58,man81,17,93.71,24.84,2018-03-09,2018-05-30
75,PX37,man54,36,93.39,12.13,2018-03-16,2018-05-14
76,JJ69,man08,11,74.4,21.81,2018-04-12,2018-05-24
77,NM54,man83,94,68.87,11.47,2018-03-09,2018-05-09
78,AS54,man52,31,29.35,21.99,2018-03-21,2018-05-13
79,KP82,man06,33,95.62,10.92,2018-03-05,2018-05-24
80,DT16,man18,30,44.72,10.89,2018-03-24,2018-05-27
81,DY51,man46,3,73.31,17.66,2018-04-27,2018-05-03
82,RH23,man08,62,60.27,28.6,2018-03-20,2018-05-02
83,ZE38,man57,99,38.94,17.21,2018-04-06,2018-05-07
84,XH78,man20,38,79.89,16.82,2018-04-10,2018-05-28
85,IP47,man94,20,98.39,11.21,2018-03-22,2018-05-16
86,PG54,man85,76,70.9,20.25,2018-03-23,2018-05-12
87,UK89,man62,93,45.14,19.92,2018-04-14,2018-05-11
